,이름,X,Y,대분류,탄소배출량
165,일미밀면,129.0307126,35.103164,면류,1.3
166,그리다부부,129.0307051,35.1025691,커피,0.18
167,파로스,129.0291964,35.1073233,밥류,0.414
168,스톤스트리트,129.0313983,35.1018691,면류,1.3
169,샤브남바완,129.0311283,35.1022049,돼지고기류,1.6
170,베티빌리지,129.0313169,35.1023746,밥류,0.414
171,모리쵸,129.0311304,35.1023762,생선류,5.933
172,한다솥,129.031391,35.1021666,생선류,5.933
173,쿠노이치,129.0301134,35.1026192,주류,0.32
174,까사부사노,129.0321632,35.1025116,커피,0.18
175,톤쇼우,129.031181,35.1020332,돼지고기류,1.6
176,로지라멘스탠드,129.031391,35.1021666,면류,1.3
177,도토리돈까스,129.0308427,35.1030457,돼지고기류,1.6
178,스타벅스,129.0285687,35.1027585,커피,0.18
179,장터수구레,129.0319865,35.1032883,국/탕/찌개류,2.736
180,에몽데,129.0326518,35.1029852,밥류,0.414
181,123 ZO,129.0310284,35.1021156,면류,1.3
182,골목식당,129.0292234,35.1033659,돼지고기류,1.6
183,해쉬,129.031391,35.1021666,면류,1.3
184,정성식당,129.031181,35.1020332,돼지고기류,1.6
185,골드러쉬,129.031042,35.1049369,커피,0.18
186,아재스시,129.031181,35.1020332,생선류,5.933
187,어푸,129.032871,35.1029743,생선류,5.933
188,우이,129.0342015,35.1015027,소고기류,7.833
189,산청돼지국밥,129.0348358,35.1013531,돼지고기류,1.6
190,경주해관,129.0345158,35.1020679,주류,0.32
191,섬진강재첩국,129.034739,35.0997674,국/탕/찌개류,2.736
192,화국반점,129.0342477,35.102557,면류,1.3
193,커피빈,129.0356717,35.0989392,커피,0.18
194,석기시대,129.0348635,35.1061483,패스트푸드류,2.6
195,베얼스이얼스,129.0340224,35.1012158,커피,0.18
196,라임스케일,129.0342978,35.1004382,커피,0.18
197,쿠오리노,129.0344648,35.0997698,커피,0.18
198,기남윤주막걸리,129.0346063,35.0996874,주류,0.32
199,월드통잙,129.0347585,35.1004433,닭고기류,0.3
200,마루덮밥,129.0332897,35.1066034,밥류,0.414
201,나담,129.0347076,35.0998849,커피,0.18
202,무슈부부커피스탠드,129.0343316,35.1031151,커피,0.18
203,간바레 쿠,129.0359606,35.0992342,주류,0.32
204,카페 이네이티드,129.0343293,35.1011951,밥류,0.414
205,줌악,129.035925,35.0998835,주류,0.32
206,바우노바백산,129.0343846,35.1021051,커피,0.18
207,바우노바,129.0355211,35.0991658,커피,0.18
208,재성밀면,129.0347674,35.1011463,면류,1.3
209,라차타,129.0352794,35.1000062,밥류,0.414
210,소담골,129.0334914,35.1078095,밥류,0.414
211,도쿠도쿠야,129.0354667,35.1000677,주류,0.32
212,타카라직영점,129.03544,35.098824,주류,0.32
213,육소문,129.0346063,35.0996874,소고기류,7.833
214,차이포차,129.0353895,35.1000413,주류,0.32
215,부산포,129.0348784,35.1012536,주류,0.32
216,카파드래곤,129.0345622,35.1048709,커피,0.18
217,666버거,129.0343846,35.1021051,패스트푸드류,2.6
218,타카라,129.0355818,35.099634,주류,0.32
219,산동관,129.0334864,35.107413,면류,1.3
220,영빈관,129.0348862,35.1001358,밥류,0.414
221,경남복국,129.0348994,35.1011813,국/탕/찌개류,2.736
222,은송 죽집,129.0339018,35.1081666,밥류,0.414
223,멸치쌈밥집,129.0341751,35.1020167,밥류,0.414
224,지코바숯불치킨,129.0351647,35.108282,닭고기류,0.3
225,썬더치킨,129.0331924,35.1075867,닭고기류,0.3
226,브런치카페이엘,129.0339651,35.101018,패스트푸드류,2.6
227,향수분식,129.0361072,35.0995484,패스트푸드류,2.6
228,홍성,129.0343627,35.1081807,면류,1.3
229,목포주가,129.0340999,35.1021436,생선류,5.933
230,쏙만두,129.0336005,35.1077635,패스트푸드류,2.6
231,드립커피,129.0339866,35.1018561,커피,0.18
232,단,129.0355881,35.1001298,주류,0.32
233,별밤놀이터,129.0346063,35.0996874,커피,0.18
234,자매분식,129.0361072,35.0995484,패스트푸드류,2.6
235,옛날식당,129.0334224,35.1066834,국/탕/찌개류,2.736
236,참집,129.0329319,35.1069309,패스트푸드류,2.6
237,고릴라스시,129.0349111,35.108176,생선류,5.933
238,학 이자카야,129.0353455,35.1000237,주류,0.32
239,커피버틀러,129.0341019,35.1014314,커피,0.18
240,카페희,129.0332897,35.1066034,커피,0.18
241,엘카페,129.0339454,35.1029381,커피,0.18
242,마루돈까스,129.0361072,35.0995484,돼지고기류,1.6
243,춘,129.0345639,35.1032754,커피,0.18
244,서흥다장,129.0361072,35.0995484,커피,0.18
245,고미,129.0347208,35.1000651,밥류,0.414
246,청기와개미집,129.0343557,35.1015555,소고기류,7.833
247,더하운드부엌,129.0339563,35.1020637,면류,1.3
248,카스텐,129.0346037,35.1038159,커피,0.18
249,아담분식,129.0335151,35.1079445,패스트푸드류,2.6
250,녹빈식당,129.0346435,35.1000206,밥류,0.414
251,급행분식,129.0348784,35.1012536,패스트푸드류,2.6
252,수정,129.0337481,35.1012091,밥류,0.414
253,양산박,129.0339367,35.1022441,주류,0.32
254,쏙닭쏙닭,129.0348531,35.1061934,커피,0.18
255,라임,129.035452,35.0997794,커피,0.18
256,일미옥,129.0335232,35.1077191,국/탕/찌개류,2.736
257,제우스,129.0345336,35.1008779,주류,0.32
258,나홀로쌈밥,129.0336005,35.1077635,밥류,0.414
259,휴케라,129.0350059,35.1000626,주류,0.32
260,블루라군,129.0357074,35.0991552,주류,0.32
261,드립커피,129.0339866,35.1018561,커피,0.18
