업체명,경도,위도,숙박유형,숙박점수
아름민박집,129.2631794,35.3182258,펜션/민박/유스호스텔,8.51
해변민박,129.2629941,35.31776609,펜션/민박/유스호스텔,8.51
임랑별장민박,129.2625183,35.31711904,펜션/민박/유스호스텔,8.51
선민박,129.2637955,35.31824836,펜션/민박/유스호스텔,8.51
한바다민박,129.263312,35.31789191,펜션/민박/유스호스텔,8.51
임랑펜션형브이민박,129.2658064,35.32042177,펜션/민박/유스호스텔,8.51
임랑태양민박,129.263172,35.3175556,펜션/민박/유스호스텔,8.51
동부산온천호텔,129.2531894,35.34336416,호텔/리조트,28.03
산장가든,129.246617,35.36840787,펜션/민박/유스호스텔,8.51
장안사민박형펜션,129.2536186,35.34845494,펜션/민박/유스호스텔,8.51
한옥펜션금수동,129.2532313,35.34466882,펜션/민박/유스호스텔,8.51
동부산온천호텔,129.2531717,35.34333574,호텔/리조트,28.03
루나펜션,129.250344,35.3635823,펜션/민박/유스호스텔,8.51
해파랑민박,129.2668787,35.32096957,펜션/민박/유스호스텔,8.51
보리수펜션,129.2710794,35.32512177,펜션/민박/유스호스텔,8.51
더무빙카라반캠핑,129.2700949,35.32266612,캠핑/카라반/글램핑,7.98
오투펜션,129.2679362,35.32187198,펜션/민박/유스호스텔,8.51
얀카라반펜션,129.2672237,35.32156866,펜션/민박/유스호스텔,8.51
기장문화예절학교,129.2682629,35.32554346,펜션/민박/유스호스텔,8.51
휴펜션,129.2444009,35.37055583,펜션/민박/유스호스텔,8.51
호텔다온,129.1799899,35.3212147,호텔/리조트,28.03
큐브모텔,129.179862,35.3212428,펜션/민박/유스호스텔,8.51
파크모텔,129.1803163,35.32181376,펜션/민박/유스호스텔,8.51
기장군청소년수련관,129.1997541,35.31111144,펜션/민박/유스호스텔,8.51
병산골목장캠핑,129.1877889,35.34530836,캠핑/카라반/글램핑,7.98
초원숲속글램핑,129.1877351,35.34537339,캠핑/카라반/글램핑,7.98
초원숲속야영장,129.1877069,35.34507392,캠핑/카라반/글램핑,7.98
호수글램핑,129.1851427,35.34646376,캠핑/카라반/글램핑,7.98
k2모텔,129.1821329,35.31610069,펜션/민박/유스호스텔,8.51
브라운도트호텔,129.1817517,35.31611203,호텔/리조트,28.03
호텔라움,129.1809748,35.3160994,호텔/리조트,28.03
호텔썸,129.181374,35.31610989,호텔/리조트,28.03
